0,1
106.51,"[1164, 648]"
109.68,"[1169, 644]"
112.7,"[1170, 638]"
115.74,"[1180, 648]"
119.1,"[1175, 658]"
122.56,"[1178, 660]"
125.59,"[1175, 658]"
128.62,"[1181, 652]"
131.67,"[1177, 652]"
135.14,"[1185, 652]"
138.18,"[1182, 653]"
141.2,"[1182, 653]"
144.39,"[1181, 658]"
147.43,"[1168, 661]"
150.46,"[1164, 668]"
153.49,"[1166, 669]"
156.59,"[1168, 668]"
159.79,"[1162, 665]"
162.83,"[1158, 651]"
165.86,"[1173, 652]"
168.97,"[1168, 651]"
172.21,"[1155, 648]"
175.73,"[1148, 645]"
178.75,"[1147, 634]"
181.8,"[1148, 619]"
185.26,"[1146, 607]"
188.3,"[1145, 612]"
191.56,"[1131, 611]"
194.62,"[1129, 617]"
197.65,"[1133, 618]"
200.69,"[1138, 624]"
204.52,"[1131, 622]"
207.56,"[1122, 624]"
210.85,"[1115, 615]"
213.88,"[1116, 611]"
216.95,"[1122, 605]"
219.98,"[1120, 607]"
223.26,"[1111, 610]"
226.32,"[1106, 619]"
229.39,"[1102, 626]"
232.53,"[1097, 639]"
235.54,"[1096, 644]"
319.9,"[1170, 665]"
323.19,"[1173, 656]"
326.54,"[1178, 656]"
329.57,"[1175, 659]"
332.59,"[1175, 659]"
335.79,"[1175, 659]"
339.07,"[1172, 671]"
342.08,"[1167, 685]"
345.1,"[1152, 693]"
349.57,"[1134, 699]"
358.84,"[1116, 741]"
361.88,"[1116, 756]"
364.95,"[1105, 766]"
370.19,"[1088, 780]"
373.21,"[1080, 781]"
376.25,"[1077, 781]"
379.36,"[1077, 779]"
382.65,"[1086, 779]"
385.81,"[1086, 780]"
388.83,"[1089, 784]"
392.29,"[1090, 785]"
395.33,"[1088, 782]"
397.92,"[1093, 781]"
401.16,"[1102, 791]"
404.54,"[1100, 793]"
407.57,"[1101, 792]"
410.6,"[1100, 789]"
413.75,"[1098, 788]"
416.97,"[1095, 787]"
420.01,"[1092, 786]"
423.05,"[1089, 784]"
426.26,"[1086, 783]"
429.5,"[1083, 781]"
432.78,"[1080, 780]"
435.82,"[1080, 780]"
438.85,"[1080, 780]"
442.08,"[1080, 780]"
445.39,"[1080, 780]"
448.7,"[1080, 780]"
451.73,"[1080, 780]"
454.77,"[1080, 780]"
457.79,"[1080, 780]"
460.8,"[1080, 780]"
463.83,"[1080, 780]"
466.85,"[1079, 779]"
469.89,"[1080, 780]"
472.93,"[1080, 780]"
475.95,"[1080, 780]"
478.98,"[1080, 780]"
482.0,"[1081, 780]"
485.03,"[1077, 779]"
488.06,"[1066, 774]"
494.52,"[1029, 803]"
497.54,"[1025, 789]"
500.68,"[1036, 793]"
504.08,"[1049, 792]"
507.1,"[1055, 779]"
516.21,"[1121, 791]"
519.54,"[1131, 776]"
522.65,"[1143, 769]"
525.68,"[1154, 776]"
528.74,"[1168, 778]"
531.76,"[1183, 781]"
534.91,"[1196, 790]"
538.0,"[1207, 801]"
541.27,"[1222, 803]"
544.3,"[1232, 797]"
547.33,"[1240, 786]"
549.91,"[1245, 776]"
552.94,"[1250, 761]"
555.98,"[1258, 749]"
559.47,"[1266, 742]"
562.51,"[1266, 742]"
565.54,"[1263, 752]"
568.85,"[1264, 766]"
571.91,"[1275, 779]"
575.87,"[1262, 769]"
578.9,"[1258, 757]"
581.92,"[1259, 757]"
584.93,"[1259, 757]"
608.87,"[1235, 1066]"
611.9,"[1231, 1072]"
614.93,"[1228, 1087]"
618.02,"[1231, 1099]"
620.56,"[1234, 1104]"
623.65,"[1228, 1105]"
628.96,"[1229, 1104]"
632.3,"[1231, 1112]"
635.33,"[1235, 1125]"
638.63,"[1241, 1110]"
641.66,"[1241, 1099]"
644.69,"[1242, 1084]"
647.73,"[1244, 1080]"
650.86,"[1252, 1070]"
653.88,"[1262, 1061]"
656.91,"[1263, 1058]"
659.94,"[1260, 1058]"
663.75,"[1261, 1058]"
666.77,"[1261, 1058]"
669.81,"[1260, 1058]"
672.88,"[1261, 1058]"
676.33,"[1252, 1057]"
679.35,"[1237, 1058]"
682.68,"[1228, 1056]"
685.91,"[1228, 1066]"
689.08,"[1228, 1080]"
692.13,"[1218, 1089]"
695.31,"[1216, 1089]"
698.4,"[1218, 1095]"
701.43,"[1227, 1103]"
704.46,"[1216, 1112]"
709.84,"[1189, 1113]"
712.88,"[1175, 1105]"
715.94,"[1163, 1101]"
719.34,"[1163, 1098]"
722.9,"[1171, 1083]"
725.93,"[1174, 1078]"
731.4,"[1170, 1076]"
734.43,"[1170, 1083]"
738.31,"[1170, 1088]"
741.38,"[1169, 1087]"
744.54,"[1165, 1096]"
747.57,"[1156, 1103]"
750.66,"[1151, 1104]"
753.7,"[1152, 1104]"
756.51,"[1154, 1109]"
759.54,"[1151, 1112]"
762.7,"[1148, 1101]"
765.78,"[1148, 1101]"
768.94,"[1149, 1102]"
771.99,"[1154, 1102]"
775.02,"[1149, 1103]"
778.24,"[1145, 1103]"
781.35,"[1143, 1101]"
784.38,"[1142, 1100]"
787.42,"[1142, 1100]"
790.48,"[1145, 1100]"
793.53,"[1145, 1103]"
796.55,"[1145, 1103]"
803.46,"[1153, 1106]"
62.07,"[914, 989]"
65.25,"[910, 988]"
68.74,"[910, 989]"
72.07,"[909, 988]"
75.43,"[910, 990]"
78.75,"[910, 989]"
81.77,"[911, 989]"
84.91,"[913, 991]"
88.08,"[916, 990]"
92.37,"[916, 991]"
96.05,"[916, 993]"
99.29,"[916, 994]"
102.65,"[919, 992]"
106.08,"[919, 992]"
109.24,"[919, 992]"
112.31,"[916, 996]"
115.34,"[915, 998]"
118.71,"[918, 996]"
