champion,drop_coordinates,duration,frames_uri,key,kills,knockdowns,landed,match_id,placed,player_name,rank,rings,scrims,season,source,squad_kills,squadmate_names,squadmates,timestamp,url,user_id,weapons
mirage,"[1166, 643]",204.17,s3://overtrack-apex-frames/Weow-1249/2021-05/22-17-29-WrGn8KWzTvpczA6b9xaXhK.frames.json,Weow-1249/2021-05-22-17-25-7anbJ8,0,0,Gardens,2021-05-22-17-26/HI,10,dbrahaney,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,0.0,"[None, 'Quarantined2Long']","[None, None]",1621704358.39,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-22-17-25-7anbJ8.json,-332487617,"[{'knockdowns': 0, 'name': 'Hemlock', 'time_held': 84.9}, {'knockdowns': 0, 'name': 'EVA-8 Auto', 'time_held': 141.6}]"
mirage,"[256, 1024]",519.05,s3://overtrack-apex-frames/Weow-1249/2021-05/22-17-24-FkGyb2JhaSgekDqabAs4qZ.frames.json,Weow-1249/2021-05-22-17-15-Qk2Rty,0,0,Hydroponics,2021-05-22-17-16/TAY,7,tilley_525,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,0.0,"['tilley_525', None]","[None, None]",1621703752.73,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-22-17-15-Qk2Rty.json,-332487617,"[{'knockdowns': 0, 'name': 'Flatline', 'time_held': 367.6}, {'knockdowns': 0, 'name': 'Hemlock', 'time_held': 64.5}, {'knockdowns': 0, 'name': 'Peacekeeper', 'time_held': 460.4}, {'knockdowns': 0, 'name': 'Spitfire', 'time_held': 0}, {'knockdowns': 0, 'name': 'Mozambique', 'time_held': 12.1}]"
lifeline,"[866, 1003]",119.14,s3://overtrack-apex-frames/Weow-1249/2021-05/22-17-10-P5PAq9yaYjFcND7STiGTsA.frames.json,Weow-1249/2021-05-22-17-08-5DKbEf,0,0,Solar Array,2021-05-22-17-08/AZAROOTT,16,Tobio,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,0.0,"['Tobio', None]","['pathfinder', None]",1621703286.47,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-22-17-08-5DKbEf.json,-332487617,"[{'knockdowns': 0, 'name': 'Alternator', 'time_held': 28.3}, {'knockdowns': 0, 'name': 'G7 Scout', 'time_held': 32.3}, {'knockdowns': 0, 'name': 'Charge Rifle', 'time_held': 68.6}]"
mirage,"[760, 350]",56.52,s3://overtrack-apex-frames/Weow-1249/2021-05/22-02-24-5YKgCfZKqyN5gLYdyTAENY.frames.json,Weow-1249/2021-05-22-02-23-RQsj4L,0,0,Two Spines,2021-05-22-02-23/MEGACORNER22,20,dbrahaney,"{'rank': 'silver', 'rp': None, 'rp_change': None, 'tier': 'I'}",[],,8,OverTrack-client/2021-04-04-13-24-14-beta,,"['DiamondheadxIr8TTV', 'IdRatherPlayDM']","['pathfinder', 'bangalore']",1621650205.39,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-22-02-23-RQsj4L.json,-332487617,[]
mirage,"[1085, 658]",249.52,s3://overtrack-apex-frames/Weow-1249/2021-05/14-13-07-82KXYqhdt9bzQPo2c879cd.frames.json,Weow-1249/2021-05-14-13-03-MGEK37,0,2,Gardens,2021-05-14-13-03/AEROREVERT,9,Knivesk,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,4.0,"['Knivesk', None]","[None, None]",1620997412.75,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-14-13-03-MGEK37.json,-332487617,"[{'knockdowns': 2, 'name': 'Wingman', 'time_held': 60.7}, {'knockdowns': 0, 'name': 'Flatline', 'time_held': 137.4}, {'knockdowns': 0, 'name': 'Alternator', 'time_held': 133.4}]"
wraith,"[167, 732]",1051.69,s3://overtrack-apex-frames/Weow-1249/2021-05/13-00-15-S2CiAcBkdDWKPySosJMvzK.frames.json,Weow-1249/2021-05-12-23-56-XYL6yp,4,5,Airbase,2021-05-12-23-57/SERVANTGMORK,1,dbrahaney,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,,"[None, None]","[None, None]",1620863810.48,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-12-23-56-XYL6yp.json,-332487617,"[{'knockdowns': 2, 'name': 'Spitfire', 'time_held': 880.9}, {'knockdowns': 0, 'name': 'Flatline', 'time_held': 88.9}, {'knockdowns': 0, 'name': 'P2020', 'time_held': 32.3}]"
wraith,"[730, 444]",199.06,s3://overtrack-apex-frames/Weow-1249/2021-05/12-02-02-8XeZJjXZo9YjKTYzWqXt3u.frames.json,Weow-1249/2021-05-12-01-58-C3dfxP,1,2,Power Grid,2021-05-12-01-59/EVERYTHINGBAGEI,13,RandomLeftBehind,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,2.0,"[None, 'RandomLeftBehind']","[None, None]",1620784730.93,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-12-01-58-C3dfxP.json,-332487617,"[{'knockdowns': 2, 'name': 'EVA-8 Auto', 'time_held': 129.3}, {'knockdowns': 0, 'name': 'Spitfire', 'time_held': 52.5}, {'knockdowns': 0, 'name': 'Mozambique', 'time_held': 72.8}]"
wraith,"[1078, 826]",762.96,s3://overtrack-apex-frames/Weow-1249/2021-05/11-18-06-7sQzRpi6ttGtn4BoebR8MF.frames.json,Weow-1249/2021-05-11-17-53-7GETQU,1,1,Grow Towers,2021-05-11-17-54/BUBBIEBOI,4,TryAgainz707,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,3.0,"['TryAgainz707', None]","[None, None]",1620755631.93,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-11-17-53-7GETQU.json,-332487617,"[{'knockdowns': 1, 'name': 'Peacekeeper', 'time_held': 323.4}, {'knockdowns': 0, 'name': 'G7 Scout', 'time_held': 404.2}, {'knockdowns': 0, 'name': 'Alternator', 'time_held': 153.6}, {'knockdowns': 0, 'name': 'EVA-8 Auto', 'time_held': 335.5}, {'knockdowns': 0, 'name': 'RE-45', 'time_held': 105.1}, {'knockdowns': 0, 'name': 'R-301', 'time_held': 0}, {'knockdowns': 0, 'name': 'Mozambique', 'time_held': 12.1}]"
wraith,"[976, 301]",411.34,s3://overtrack-apex-frames/Weow-1249/2021-05/11-17-51-5KgYyrq27XqNrf2JkogQQe.frames.json,Weow-1249/2021-05-11-17-44-jdizQp,0,0,Rift,2021-05-11-17-44/JAYOO_99,10,dbrahaney#,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,0.0,"['RealHyli', None]","['crypto', None]",1620755045.53,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-11-17-44-jdizQp.json,-332487617,"[{'knockdowns': 0, 'name': 'Alternator', 'time_held': 315.3}, {'knockdowns': 0, 'name': 'Peacekeeper', 'time_held': 307.2}]"
wraith,"[868, 1008]",514.24,s3://overtrack-apex-frames/Weow-1249/2021-05/11-17-43-YWyuungfJk7msr2tPVRMjc.frames.json,Weow-1249/2021-05-11-17-33-dzqg2X,0,0,Solar Array,2021-05-11-17-34/EGIANTINE,7,Casselec,,[],,8,OverTrack-client/2021-04-04-13-24-14-beta,0.0,"['Casselec', None]","[None, None]",1620754439.86,https://overtrack-apex-games.s3.amazonaws.com/Weow-1249/2021-05-11-17-33-dzqg2X.json,-332487617,"[{'knockdowns': 0, 'name': 'Spitfire', 'time_held': 375.8}, {'knockdowns': 0, 'name': 'G7 Scout', 'time_held': 64.7}, {'knockdowns': 0, 'name': 'Charge Rifle', 'time_held': 444.5}]"
